possID,Play_by_Play,Score
160,Personal foul by C. Bosh (drawn by P. Pierce),55-71
161,Miami full timeout,55-71
162,R. Allen makes 2-pt jump shot from 13 ft (assist by N. Cole),57-71
163,A. Blatche misses 2-pt jump shot from 15 ft,57-71
164,R. Allen misses 3-pt jump shot from 25 ft,57-71
165,P. Pierce makes 2-pt jump shot from 19 ft,57-73
166,N. Cole makes 2-pt layup from 3 ft,59-73
167,Turnover by P. Pierce (bad pass; steal by L. James),59-73
168,L. James makes 2-pt layup from 2 ft (assist by N. Cole),61-73
169,Brooklyn full timeout,61-73
170,J. Terry misses 3-pt jump shot from 25 ft,61-73
171,Shooting foul by R. Evans (drawn by C. Andersen),62-73
172,Shooting foul by C. Andersen (drawn by A. Kirilenko),62-74
173,Personal foul by J. Terry (drawn by R. Allen),64-74
174,A. Anderson makes 3-pt jump shot from 25 ft (assist by S. Livingston),64-77
175,N. Cole misses 2-pt layup from 2 ft,64-77
176,A. Kirilenko misses 2-pt layup from 2 ft,64-77
177,Personal foul by L. James (drawn by A. Kirilenko),64-78
178,Unknown,64-78
179,C. Andersen makes 2-pt layup from 3 ft (assist by L. James),67-78
180,Turnover by A. Kirilenko (bad pass; steal by R. Allen),67-78
181,End of 3rd quarter,67-78
182,L. James makes 2-pt jump shot from 4 ft (assist by N. Cole),69-78
183,Shooting foul by L. James (drawn by A. Kirilenko),69-79
184,Offensive foul by D. Wade (drawn by D. Williams),69-79
185,Turnover by K. Garnett (jump ball violation.),69-79
186,Unkown,69-79
187,Unkown,69-79
188,Unkown,69-79
189,Turnover by N.Cole (lost ball; back court violation),69-79
190,K. Garnett misses 2-pt jump shot from 8 ft,69-79
191,A. Kirilenko makes 2-pt dunk from 2 ft (assist by D. Williams),69-81
192,Personal foul by A. Kirilenko (drawn by C. Andersen),69-81
193,Shooting foul by A. Kirilenko (drawn by D. Wade),71-81
194,Shooting foul by C. Andersen (drawn by A. Anderson),71-83
195,D. Wade misses 2-pt jump shot from 6 ft,71-83
196,C. Andersen misses 2-pt layup from 3 ft + D. Wade makes 2-pt layup,71-83
197,J. Terry misses 3-pt jump shot from 23 ft + PF by C.Andersen,73-83
198,Offensive foul by B. Lopez (drawn by R. Allen),73-83
199,L. James makes 2-pt layup from 2 ft (assist by M. Chalmers),75-83
200,A. Kirilenko misses 2-pt layup from 2 ft (block by L. James) + TO by A. Blatche,75-83
201,Personal foul by A. Anderson (drawn by D. Wade),75-83
202,D. Wade misses 2-pt layup from 2 ft (block by A. Anderson),75-83
203,Personal foul by D. Wade (drawn by A. Blatche),75-84
204,Turnover by M. Chalmers (lost ball; steal by A. Blatche),75-84
205,Personal foul by M. Chalmers (drawn by P. Pierce),75-86
206,Turnover by C. Bosh (lost ball; steal by S. Livingston),75-86
207,S. Livingston misses 2-pt layup from 2 ft (block by C. Bosh),75-86
208,S. Livingston makes 2-pt layup from 2 ft,75-88
209,Personal foul by P. Pierce (drawn by M. Chalmers),75-88
210,R. Allen makes 3-pt jump shot from 27 ft (assist by L. James),78-88
